776,104,-17680,-340,-109,-134,43,191,-619
732,96,-17488,-367,-93,-109,43,191,-619
620,64,-17424,-383,-59,-113,43,191,-619
664,88,-17320,-390,-58,-91,49,203,-632
624,180,-17420,-378,-41,-81,49,203,-632
676,84,-17220,-335,-20,-89,49,203,-632
636,100,-17264,-326,6,-55,49,203,-632
736,244,-17344,-292,51,-63,49,203,-632
704,228,-17372,-288,18,-57,49,203,-632
740,176,-17416,-338,-5,-66,49,203,-632
676,196,-17496,-350,-31,-78,49,203,-632
676,232,-17552,-342,-30,-99,49,203,-632
712,324,-17468,-335,18,-93,49,203,-632
728,216,-17504,-352,59,-103,49,203,-632
804,180,-17504,-320,42,-117,49,203,-632
812,208,-17508,-325,45,-127,49,203,-632
828,104,-17356,-337,28,-136,49,203,-632
756,144,-17360,-341,101,-147,49,203,-632
628,104,-17384,-353,122,-121,49,203,-632
708,96,-17392,-355,179,-83,38,189,-632
740,144,-17432,-353,173,-60,38,189,-632
964,196,-17500,-270,69,-45,38,189,-632
904,132,-17552,-214,4,-36,38,189,-632
836,260,-17660,-157,-27,-28,38,189,-632
804,176,-17648,-163,-63,-16,38,189,-632
868,72,-17656,-206,-37,-4,38,189,-632
772,80,-17444,-254,10,-2,38,189,-632
888,144,-17484,-286,33,18,38,189,-632
784,168,-17604,-303,60,-15,38,189,-632
756,100,-17472,-317,19,-7,38,189,-632
744,148,-17280,-344,33,-48,38,189,-632
688,68,-17352,-348,89,-44,38,189,-632
556,108,-17304,-324,106,-19,38,189,-632
656,120,-17344,-346,160,0,38,189,-632
648,96,-17292,-381,172,-9,38,189,-632
736,232,-17304,-411,130,-28,38,189,-632
768,216,-17472,-378,63,-74,42,191,-625
900,244,-17540,-260,-3,-79,42,191,-625
844,132,-17576,-152,-20,-42,42,191,-625
848,112,-17584,-175,4,-28,42,191,-625
812,-20,-17636,-232,27,-3,42,191,-625
704,152,-17592,-254,70,-20,42,191,-625
700,160,-17576,-303,71,-38,42,191,-625
668,176,-17292,-299,86,-55,42,191,-625
712,200,-17368,-310,33,-35,42,191,-625
704,140,-17388,-395,51,-54,42,191,-625
648,60,-17404,-332,43,-45,42,191,-625
784,152,-17224,-285,41,-59,42,191,-625
752,108,-17304,-316,61,-27,42,191,-625
692,160,-17240,-303,107,-53,42,191,-625
652,188,-17508,-313,157,-39,42,191,-625
704,184,-17376,-296,202,-26,42,191,-625
764,256,-17424,-256,225,-26,49,203,-634
716,224,-17532,-260,223,-14,49,203,-634
780,220,-17748,-272,188,-52,49,203,-634
888,172,-17532,-271,165,-64,49,203,-634
904,260,-17628,-229,59,-74,49,203,-634
980,124,-17648,-137,-38,-75,49,203,-634
932,160,-17696,-101,-45,-46,49,203,-634
